medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
073E554D0345EFB08A9FE38C61AD2335,CA784439730B9A9D0C5418D945976F8B,CMT,1,N,2013-08-28 14:04:00,2013-08-28 14:08:52,1,292,.60,-73.972687,40.755508,-73.97934,40.748554
BD6BEC206DAB447D3D08AA2C3C75A53A,D425F45DE6E2271BA2EA9AB65BFA50D9,CMT,1,N,2013-08-29 19:17:22,2013-08-29 19:24:35,1,432,1.70,-73.978256,40.766685,-73.959389,40.780392
BA60553FAA4FE1A36BBF77B4C10D3003,7113EB5EDADF2E5A9B1DEC6C3EAC89FF,CMT,2,N,2013-08-30 11:01:14,2013-08-30 11:01:24,1,10,.00,-74.003929,40.720848,-74.003937,40.720844
4C4A0AFC432A1A87E97ED8F18403FF6E,BA20A20E2CF85EF7B00162D711394C7E,CMT,1,N,2013-08-26 15:51:08,2013-08-26 15:58:50,1,461,2.10,-73.952568,40.772404,-73.940735,40.798332
A30A0C08B1331EC905B012947F22081F,B6070CD9C6CBB790835CB6CC56350BA8,CMT,1,N,2013-08-29 13:12:43,2013-08-29 13:44:47,1,1923,13.50,-73.865723,40.770744,-74.005058,40.741161
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,1,N,2013-08-26 11:24:38,2013-08-26 11:29:58,1,320,1.10,-73.968887,40.758751,-73.96138,40.772644
0D6EFD5154194976ECC7D1002693B7DF,6728F46F954A33E985F187B91FCBAA14,CMT,1,N,2013-08-26 07:23:19,2013-08-26 07:31:52,1,512,1.50,-73.96125,40.765923,-73.978775,40.756413
1A6E8F6EEBC37865EB2A2DAA1ECA6B94,76D9CFA338E05BEF6A6211CC50BC1E7F,CMT,1,N,2013-08-28 09:37:01,2013-08-28 09:42:22,1,320,.50,-73.987343,40.755665,-73.993721,40.75544
C4C347414D5C906720807BFC30CF13BA,262D54748AC4FE33D6BCAE268351FF80,CMT,1,Y,2013-08-30 00:20:14,2013-08-30 00:30:42,1,628,3.70,-73.952995,40.783325,-73.95327,40.783489
F9E0A24870A77B6A347303BD68BF3081,48CAD00AF465E28CB1D0B0ABA6EDC90B,CMT,1,N,2013-08-28 12:42:50,2013-08-28 12:47:35,2,285,.30,-73.960068,40.776505,-73.962517,40.775772
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,1,N,2013-08-29 17:09:44,2013-08-29 17:13:41,1,237,.80,-74.002838,40.760525,-74.008133,40.748646
A557FACE6B00F79F55750047ADCED7EC,99B7AC45338EAB65B4C627D872B72CA3,CMT,1,N,2013-08-26 01:06:13,2013-08-26 01:15:58,3,584,1.80,-73.999626,40.738693,-73.996986,40.720329
4EC66A306E69E2A9514E8A7F177E2F7C,CB689AF2D7AEEF6451D1C1DA9E659D09,CMT,1,N,2013-08-26 08:30:59,2013-08-26 08:43:55,2,776,2.60,-73.98468,40.759281,-74.004097,40.725586
6D49E494913752B75B2685E0019FF3D5,7281CC90DBD48ACC900478DD0CAA9679,CMT,1,N,2013-08-28 18:32:36,2013-08-28 18:49:37,1,1020,2.10,-73.976814,40.751225,-73.953392,40.771435
BB7AB03C26A0D97D1A1E3BA84160D7A7,E2793922E435C07ADB319430EC0A6704,CMT,1,N,2013-08-29 17:40:44,2013-08-29 17:59:45,1,1140,3.60,-73.976959,40.790291,-73.994873,40.750336
BB7AB03C26A0D97D1A1E3BA84160D7A7,EDF4D56435524ED1FBC8EC5D46391716,CMT,1,N,2013-08-30 23:24:46,2013-08-30 23:45:31,1,1244,3.80,-73.979546,40.784664,-73.990158,40.75193
4EC66A306E69E2A9514E8A7F177E2F7C,CB689AF2D7AEEF6451D1C1DA9E659D09,CMT,1,N,2013-08-26 09:34:25,2013-08-26 09:51:01,1,996,2.00,-73.960419,40.757851,-73.985268,40.747532
CA8DFBC7AF031CBABDD5A592DFB2741C,3C9179450CD0C023C36D35033062D894,CMT,1,N,2013-08-28 22:21:04,2013-08-28 22:40:28,1,1163,4.60,-74.003708,40.726353,-73.963974,40.774532
0623A7C9C8D5348CCD6E441E6161FE19,84B982BE5996AD790C61503B713E9479,CMT,1,N,2013-08-26 18:39:23,2013-08-26 18:50:04,1,640,1.20,-73.978951,40.762096,-73.972481,40.752724
23A0B31A77630CC676BFF26290B7B8A6,8EEF8462A6AF95FBBB4C2B36530D8230,CMT,1,N,2013-08-31 03:54:13,2013-08-31 04:06:07,2,713,2.90,-73.990486,40.757278,-73.996819,40.726959
23A0B31A77630CC676BFF26290B7B8A6,8EEF8462A6AF95FBBB4C2B36530D8230,CMT,1,N,2013-08-31 01:43:13,2013-08-31 02:05:47,2,1353,10.80,-73.846375,40.754631,-73.931114,40.68177
12842495074E45A2BDB93613AEBE05F3,FFF20BA1518E14B3B23F79DDDE1CA7E6,CMT,1,N,2013-08-30 22:47:10,2013-08-30 22:54:06,1,415,1.20,-73.982368,40.746529,-73.996017,40.738579
C647516A7B73EC8105E8DE5494B4CDB9,74F6D243267A031F8A2384C9D5CDC368,CMT,1,N,2013-08-29 09:46:08,2013-08-29 09:56:15,2,607,1.20,-73.976395,40.736031,-73.991447,40.727757
6D3B2A7682C30DCF64F3F12976EF93B6,507C71C75AE0623A6ABA46A4DC2231B2,CMT,1,N,2013-08-28 16:13:01,2013-08-28 16:16:31,1,209,.20,-73.976799,40.758255,-73.975662,40.756359
